start_station_id,start_station_name,start_date,subscriber_type,landmark,name
22,Redwood City Caltrain Station,2016-02-04 12:01:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
25,Stanford in Redwood City,2016-02-04 12:20:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
25,Stanford in Redwood City,2016-02-04 16:27:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
24,Redwood City Public Library,2016-02-04 21:41:00.000000 UTC,Subscriber,Redwood City,Redwood City Public Library
22,Redwood City Caltrain Station,2016-02-05 07:42:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
22,Redwood City Caltrain Station,2016-02-05 07:55:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
83,Mezes,2016-02-05 08:13:00.000000 UTC,Subscriber,Redwood City,Mezes Park
22,Redwood City Caltrain Station,2016-02-05 09:28:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
25,Stanford in Redwood City,2016-02-05 16:29:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
22,Redwood City Caltrain Station,2016-02-05 16:34:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
25,Stanford in Redwood City,2016-02-05 17:07:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
22,Redwood City Caltrain Station,2016-02-05 17:07:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
25,Stanford in Redwood City,2016-02-05 18:00:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
26,Kaiser Hospital,2016-02-05 18:14:00.000000 UTC,Subscriber,Redwood City,Redwood City Medical Center
22,Redwood City Caltrain Station,2016-02-08 07:24:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
22,Redwood City Caltrain Station,2016-02-08 07:58:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
83,Mezes,2016-02-08 08:15:00.000000 UTC,Subscriber,Redwood City,Mezes Park
23,San Mateo County Center,2016-02-08 12:43:00.000000 UTC,Subscriber,Redwood City,San Mateo County Center
22,Redwood City Caltrain Station,2016-02-08 12:54:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
25,Stanford in Redwood City,2016-02-08 16:06:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
25,Stanford in Redwood City,2016-02-08 16:30:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
25,Stanford in Redwood City,2016-02-08 17:00:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
26,Kaiser Hospital,2016-02-08 18:08:00.000000 UTC,Subscriber,Redwood City,Redwood City Medical Center
22,Redwood City Caltrain Station,2016-02-09 07:56:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
23,San Mateo County Center,2016-02-09 11:59:00.000000 UTC,Subscriber,Redwood City,San Mateo County Center
25,Stanford in Redwood City,2016-02-09 16:32:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
25,Stanford in Redwood City,2016-02-09 17:10:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
22,Redwood City Caltrain Station,2016-02-10 07:23:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
22,Redwood City Caltrain Station,2016-02-10 07:56:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
22,Redwood City Caltrain Station,2016-02-10 09:17:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
25,Stanford in Redwood City,2016-02-10 16:08:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
25,Stanford in Redwood City,2016-02-10 16:33:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
25,Stanford in Redwood City,2016-02-10 17:04:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
26,Kaiser Hospital,2016-02-10 17:11:00.000000 UTC,Subscriber,Redwood City,Redwood City Medical Center
22,Redwood City Caltrain Station,2016-02-11 07:31:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
22,Redwood City Caltrain Station,2016-02-11 07:56:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
22,Redwood City Caltrain Station,2016-02-11 09:19:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
26,Kaiser Hospital,2016-02-11 12:13:00.000000 UTC,Subscriber,Redwood City,Redwood City Medical Center
25,Stanford in Redwood City,2016-02-11 16:30:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
25,Stanford in Redwood City,2016-02-11 16:47:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
25,Stanford in Redwood City,2016-02-11 17:07:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
26,Kaiser Hospital,2016-02-11 17:12:00.000000 UTC,Subscriber,Redwood City,Redwood City Medical Center
22,Redwood City Caltrain Station,2016-02-12 07:48:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
22,Redwood City Caltrain Station,2016-02-12 07:49:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
22,Redwood City Caltrain Station,2016-02-12 07:55:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
22,Redwood City Caltrain Station,2016-02-12 09:59:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
22,Redwood City Caltrain Station,2016-02-12 15:21:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
25,Stanford in Redwood City,2016-02-12 16:29:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
25,Stanford in Redwood City,2016-02-12 16:29:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
25,Stanford in Redwood City,2016-02-12 17:08:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
26,Kaiser Hospital,2016-02-12 18:18:00.000000 UTC,Subscriber,Redwood City,Redwood City Medical Center
83,Mezes,2016-02-14 05:04:00.000000 UTC,Subscriber,Redwood City,Mezes Park
26,Kaiser Hospital,2016-02-14 05:25:00.000000 UTC,Subscriber,Redwood City,Redwood City Medical Center
22,Redwood City Caltrain Station,2016-02-16 07:56:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
23,San Mateo County Center,2016-02-16 12:19:00.000000 UTC,Subscriber,Redwood City,San Mateo County Center
25,Stanford in Redwood City,2016-02-16 17:11:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
26,Kaiser Hospital,2016-02-16 17:12:00.000000 UTC,Subscriber,Redwood City,Redwood City Medical Center
25,Stanford in Redwood City,2016-02-16 17:26:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
22,Redwood City Caltrain Station,2016-02-17 08:29:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
23,San Mateo County Center,2016-02-17 12:35:00.000000 UTC,Subscriber,Redwood City,San Mateo County Center
24,Redwood City Public Library,2016-02-17 13:10:00.000000 UTC,Subscriber,Redwood City,Redwood City Public Library
25,Stanford in Redwood City,2016-02-17 17:12:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
26,Kaiser Hospital,2016-02-17 17:14:00.000000 UTC,Subscriber,Redwood City,Redwood City Medical Center
22,Redwood City Caltrain Station,2016-02-17 19:35:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
22,Redwood City Caltrain Station,2016-02-18 07:32:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
22,Redwood City Caltrain Station,2016-02-18 07:56:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
83,Mezes,2016-02-18 08:16:00.000000 UTC,Subscriber,Redwood City,Mezes Park
22,Redwood City Caltrain Station,2016-02-18 09:32:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
22,Redwood City Caltrain Station,2016-02-18 10:04:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
25,Stanford in Redwood City,2016-02-18 16:33:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
25,Stanford in Redwood City,2016-02-18 17:07:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
